"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000166923",126514,64824,156189,59216,247345,336864,98504,56549
"ENSG00000115414",260262,213986,513766,273878,252667,399841,345651,370450
"ENSG00000011465",219586,191767,422752,214062,293318,313112,378834,372489
"ENSG00000198804",210138,213952,265361,169551,397791,401539,233051,248032
"ENSG00000115461",74051,79611,328753,137165,241640,216484,145858,148389
"ENSG00000087086",236805,138524,236361,95045,343728,229323,167067,114257
"ENSG00000103888",40294,50650,158457,142739,62722,283442,80446,144279
"ENSG00000137801",33528,60378,58310,124180,37996,225454,31121,153393
"ENSG00000210082",64687,61852,139695,82229,213578,208118,72063,77239
"ENSG00000141753",60796,51043,69127,32419,172978,175527,55871,41515
"ENSG00000108821",143038,52204,157553,37006,182901,95449,134345,48829
"ENSG00000116260",235670,204991,240239,119073,223381,302758,176053,169586
"ENSG00000164692",240256,138718,262721,127208,253434,227499,246258,178471
"ENSG00000156508",297906,255662,329988,165709,290288,266337,255259,223691
"ENSG00000075624",48537,66229,72722,69788,56042,182740,45990,76960
"ENSG00000087245",136267,99702,147916,73210,193948,195952,124891,115177
"ENSG00000091986",105505,96830,202413,110598,68921,120738,143058,164559
"ENSG00000077942",166952,141729,205873,122953,187161,212673,140466,147710
"ENSG00000168542",110294,60146,127301,42445,108422,64423,107540,56913
"ENSG00000196924",63807,66872,77479,58348,57690,146996,49196,74054
"ENSG00000131016",37274,18475,104747,24110,38136,26050,51574,31671
"ENSG00000198786",43071,43572,75599,47160,88317,115316,42769,48826
"ENSG00000124942",97093,92681,117069,76202,98058,159908,90196,130619
"ENSG00000138829",6648,16309,4467,7293,11865,76824,3457,16533
"ENSG00000198712",33398,44124,70716,48489,85627,95648,38031,43989
"ENSG00000163430",41444,82811,69117,65582,48335,85695,49623,108544
"ENSG00000154734",6297,36486,13641,36087,10482,62996,13285,58444
"ENSG00000167460",35897,57090,45322,40429,46072,103111,34815,50480
"ENSG00000163359",109033,77467,97628,43154,111170,95507,87649,75767
"ENSG00000142173",84280,65351,112894,56871,99922,121599,93127,89777
"ENSG00000123384",88031,66581,106554,45594,90403,116088,85519,85527
"ENSG00000237973",54003,54109,69562,44676,99291,103372,59185,64234
"ENSG00000165124",39210,43119,66081,51882,36234,91749,51271,88100
"ENSG00000142156",67655,59655,93809,44483,94008,106560,79215,75235
"ENSG00000198727",43745,48349,62813,53240,79198,97482,39857,48196
"ENSG00000196205",123066,105581,131254,68626,117031,108148,103306,89715
"ENSG00000107562",48832,9539,24653,4537,55670,16693,40380,11346
"ENSG00000100345",36639,33811,44110,28885,53162,86409,29518,36602
"ENSG00000150991",76167,85370,87699,70700,106280,124105,80512,95539
"ENSG00000166147",54534,60069,87030,38765,79738,86151,58292,64247
"ENSG00000198886",61966,66128,95891,68249,95638,99240,60736,66113
"ENSG00000196616",27818,67189,32400,49113,33817,56547,27056,65377
"ENSG00000184009",41839,47183,53372,48163,39041,90083,41959,60075
"ENSG00000135821",5065,38018,4976,22220,5275,24433,3445,43876
"ENSG00000266658",66954,29353,41298,22774,50453,56028,27644,53076
"ENSG00000100234",48575,29981,68327,29544,59948,31513,53943,33395
"ENSG00000272761",27696,33084,58954,44934,11455,23103,36747,46811
"ENSG00000150093",36802,37499,60491,44880,54305,79505,45420,61121
"ENSG00000111799",45063,32683,61416,27344,62577,60909,37770,36944
"ENSG00000167658",68142,62661,77098,35943,69870,71428,54351,59279
"ENSG00000162407",28304,13330,46009,12125,32395,19816,40647,20199
"ENSG00000233476",72230,63051,81756,41064,72998,66957,64163,55567
"ENSG00000164733",23569,25468,28811,19107,43255,52657,18623,22067
"ENSG00000143387",22571,16978,46485,27597,47846,48083,29797,31001
"ENSG00000135862",23163,39551,30723,27708,32147,57587,21082,43435
"ENSG00000122786",16537,22866,21135,19591,20085,51988,13740,23051
"ENSG00000196569",5566,24939,9521,18134,5470,21366,7613,38575
"ENSG00000101347",1632,17126,2098,19694,1598,17697,1683,32036
"ENSG00000175899",20085,15449,32043,26789,2367,9980,32109,33532
"ENSG00000166482",37379,15636,39798,11806,40589,22546,31881,19133
"ENSG00000205542",30186,21962,56160,25813,37322,47037,40339,33317
"ENSG00000118523",2897,4173,7640,8485,9989,34317,7928,24802
"ENSG00000044574",16591,13418,19997,7565,16910,41484,10577,7728
"ENSG00000198431",12014,25511,13516,29307,13493,32327,10797,37956
"ENSG00000089157",53340,54339,44845,23715,36782,45222,32243,34618
"ENSG00000123243",23586,9968,30467,8792,1244,719,20615,12440
"ENSG00000035862",36898,31612,48710,35384,50093,63221,35647,40512
"ENSG00000272060",27938,9050,23430,13389,30946,32533,16580,39246
"ENSG00000211445",916,15749,3142,24057,1627,16274,1741,24883
"ENSG00000113739",12219,12721,8738,16519,6556,16699,17508,39595
"ENSG00000111640",30823,22361,35250,15386,31855,45761,21497,18722
"ENSG00000198467",10588,17146,20872,18485,17928,42960,12841,17814
"ENSG00000129116",12121,16666,21269,21811,18078,43478,13713,25765
"ENSG00000211459",8243,7239,16433,8602,32186,28080,8541,10155
"ENSG00000116016",26544,12781,29614,9911,35744,33460,23837,15455
"ENSG00000165507",9293,16866,11348,25012,7969,25629,9809,34231
"ENSG00000134333",11177,14263,12813,10820,11718,38267,6830,13719
"ENSG00000137573",8055,9488,36530,20497,7428,12731,15163,19544
"ENSG00000115380",15615,13920,36640,19472,28017,37642,15944,18585
"ENSG00000164292",7393,12787,13274,13019,13512,37330,6943,16364
"ENSG00000183087",5230,6024,12654,7672,19351,32836,6505,8668
"ENSG00000164111",21473,23177,25923,14858,32574,44709,18747,21391
"ENSG00000071967",22573,21775,33051,23254,38597,48420,28408,36499
"ENSG00000113140",35440,24777,41733,16058,41296,31553,33546,22145
"ENSG00000245532",21382,13291,42048,18511,31613,27914,27279,18494
"ENSG00000138758",18635,19207,25826,12698,27589,43048,23129,22971
"ENSG00000109971",17599,13887,26410,13016,35609,32434,17136,15183
"ENSG00000091136",20473,36444,27522,23536,23098,43472,21471,37565
"ENSG00000134294",13429,20241,13128,23802,15091,33003,11161,32015
"ENSG00000174437",6445,11367,7423,9891,6560,30952,4875,11004
"ENSG00000198763",26387,26884,36052,27859,41130,46573,23788,26705
"ENSG00000179218",24491,18088,23006,9776,20805,34159,13915,10245
"ENSG00000067225",25702,17505,29223,12825,31058,33260,19597,13526
"ENSG00000197746",48211,41440,52399,27170,43904,49240,37994,38585
"ENSG00000142541",39386,38304,37014,17914,34512,38711,26785,25068
"ENSG00000137076",16161,18903,19427,14550,18631,38735,14318,22226
"ENSG00000182326",50290,48128,52825,33238,52339,60136,43510,50027
"ENSG00000131386",5613,12745,7785,13192,9922,28672,2747,13295
"ENSG00000128595",19804,19264,33875,19474,30628,39301,21242,22397
"ENSG00000074800",17055,15535,14901,7279,13022,32202,9122,10384
"ENSG00000130402",9585,12291,13120,10441,11413,32418,8479,15474
"ENSG00000198938",53891,58897,66947,46903,48366,55200,43345,47901
"ENSG00000100316",41210,36698,36273,18318,34862,40036,28669,27609
"ENSG00000134352",40830,31216,46789,31454,34568,52671,39813,44110
"ENSG00000136235",32622,19292,35108,16177,35792,31341,25971,21522
"ENSG00000119681",35519,24933,39674,16445,29619,36057,28314,25112
"ENSG00000166598",19101,13545,23510,9380,19368,31529,13334,10395
"ENSG00000120708",6298,3079,13768,6434,23194,22481,12090,9542
"ENSG00000104332",4587,3910,14794,14657,10893,22513,17486,23749
"ENSG00000178209",14409,20687,22097,18325,10466,26827,15168,32849
"ENSG00000174444",35302,33937,37772,18768,35559,37144,24946,24165
"ENSG00000090006",33595,25909,35654,16125,33101,37300,25189,24622
"ENSG00000198695",14145,15886,23322,18472,27066,33459,14066,14600
"ENSG00000084234",20223,19044,30837,19112,33614,38031,23865,27340
"ENSG00000136830",13971,16758,16754,14930,17775,34754,11761,21202
"ENSG00000163513",5643,14034,8292,14207,10101,25269,6573,21299
"ENSG00000072110",10183,10814,13511,8906,12921,30552,10168,11144
"ENSG00000135404",22780,18469,26802,14327,31498,34324,21445,17398
"ENSG00000026025",32264,20759,37558,21944,39307,26565,33928,26662
"ENSG00000149925",20362,15219,23205,9792,21259,31311,14244,13343
"ENSG00000139329",11239,4454,21296,7613,23489,14961,19908,11255
"ENSG00000157227",28891,25980,32661,17710,41224,31262,24544,28235
"ENSG00000145390",1907,7938,4218,13918,1701,5515,4117,21356
"ENSG00000125868",8617,14135,16917,18250,12601,30182,9557,17350
"ENSG00000182718",19418,28525,25846,22818,21588,38325,17438,29095
"ENSG00000177469",14195,18017,20297,17250,14683,33834,16075,23886
"ENSG00000115963",22716,9045,22098,9914,26285,18257,22557,13431
"ENSG00000172403",3236,9288,5531,8755,5489,22872,2205,8910
